id,class_of_business_group_id,class_of_business,created_at,created_by,updated_at,updated_by,IsPL,IsGL,isBOP,is_active,row
86,8,Expert Witness Services,6/12/2018,V9.0.91,9/11/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,85
87,8,Exterior Cleaning Services,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,86
88,8,Fence Installation and Repair,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,87
89,8,Field Service Engineer,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,88
90,8,Financial Auditing or Consulting,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,89
91,8,Fire Protection Engineering,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,90
92,8,Floor Covering Installation (no ceramic tile or stone),6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,91
93,8,Florists,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,92
94,8,Food Cart Food Consultant ,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,93
95,8,Food Services (not Mobile Food Services),6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,94
96,8,Food Trailer Operator,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,95
97,8,Food Truck Operator,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,96
98,8,Food/Beverage Cart Operator,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,97
99,8,Forensic Accounting,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,98
100,8,Franchise Broker,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,99
101,8,Franchise Consulting,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,100
102,8,Gardening Services,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,101
103,8,Geological Consulting,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,102
104,8,Glass Installation and Repair (no auto work),6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,103
105,8,Graphic Design,6/12/2018,V9.0.91,9/11/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,104
106,2,Barber Services/Hair Stylist,6/12/2018,V9.0.91,6/13/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,105
107,8,Handyperson (no roof work),6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,106
108,8,Healthcare Budgeting and Finance,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,107
109,8,Heating and Air Conditioning Installation and Repair (No Liquefied Petroleum Gas (LPG)),6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,108
110,8,Home Furnishing Stores,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,109
111,8,Home Health Aide,6/12/2018,V9.0.91,9/14/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,110
112,8,Home Inspector,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,111
113,8,Hot Dog Cart Operator,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,112
114,8,House Cleaning,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,113
115,8,Human Resources (HR) Consulting,6/12/2018,V9.0.91,9/11/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,114
116,2,Hypnosis,6/12/2018,V9.0.91,6/13/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,115
117,8,Ice Cream/Snow Cone/Shaved Ice Cart Operator,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,116
118,1,Industrial Engineering,6/12/2018,V9.0.91,6/13/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,117
119,8,Information Security,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,118
120,8,Insurance Agent,6/12/2018,V9.0.91,9/14/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,119
121,8,Insurance Agent/Broker,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,120
122,8,Insurance Appraiser,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,121
123,8,Insurance Consultant,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,122
124,8,Insurance Inspectors,6/12/2018,V9.0.91,9/14/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,123
125,8,Interim Management,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,124
126,1,Interior Design,6/12/2018,V9.0.91,,V9.0.91,TRUE,FALSE,FALSE,TRUE,125
127,8,Interior Finishing work,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,126
128,8,Investment Advise,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,127
129,4,IT Consulting,6/12/2018,V9.0.91,6/13/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,128
130,4,IT Project Management,6/12/2018,V9.0.91,6/13/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,129
131,4,IT Software/Hardware Training Services,6/12/2018,V9.0.91,,V9.0.91,TRUE,FALSE,FALSE,TRUE,130
132,8,Janitorial/Cleaning Services,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,131
